train,val,test
240124.193228.GM25256_Ectoderm_6h.021.Group2.A1.S021,240124.171701.GM25256_Mesoderm_6h.018.Group1.A1.S018,230921.191021.GM25256_12hours.030.Group1.A1.S030
240124.193412.GM25256_Ectoderm_6h.022.Group2.A1.S022,240124.173816.GM25256_Mesoderm_6h.029.Group1.A1.S029,230921.192519.GM25256_12hours.040.Group1.A1.S040
240124.193609.GM25256_Ectoderm_6h.023.Group2.A1.S023,240124.175650.GM25256_Mesoderm_6h.039.Group1.A1.S039,230921.194412.GM25256_12hours.050.Group1.A1.S050
240124.193914.GM25256_Ectoderm_6h.024.Group2.A1.S024,240124.182335.GM25256_Mesoderm_6h.049.Group1.A1.S049,230921.200344.GM25256_12hours.063.Group1.A1.S063
240124.194043.GM25256_Ectoderm_6h.025.Group2.A1.S025,240124.183958.GM25256_Mesoderm_6h.059.Group1.A1.S059,230922.173650.JAX_12hours.011.Group1.A1.S011
240124.194204.GM25256_Ectoderm_6h.026.Group2.A1.S026,231211.084852.GM25256_Mesoderm_12h.009.Group1.A1.S009,230922.180936.JAX_12hours.025.Group1.A1.S025
240124.194332.GM25256_Ectoderm_6h.027.Group2.A1.S027,231211.090435.GM25256_Mesoderm_12h.020.Group1.A1.S020,230922.183914.JAX_12hours.040.Group1.A1.S040
240124.194759.GM25256_Ectoderm_6h.030.Group2.A1.S030,231211.092414.GM25256_Mesoderm_12h.032.Group1.A1.S032,230922.190809.JAX_12hours.050.Group1.A1.S050
240124.195048.GM25256_Ectoderm_6h.031.Group2.A1.S031,231211.094044.GM25256_Mesoderm_12h.042.Group1.A1.S042,230922.193728.JAX_12hours.063.Group1.A1.S063
240124.195212.GM25256_Ectoderm_6h.032.Group2.A1.S032,231211.095705.GM25256_Mesoderm_12h.053.Group1.A1.S053,231001.231508.H9_12hours.010.Group1.A1.S010
240124.195921.GM25256_Ectoderm_6h.033.Group2.A1.S033,231211.101159.GM25256_Mesoderm_12h.063.Group1.A1.S063,231001.232957.H9_12hours.020.Group1.A1.S020
240124.200108.GM25256_Ectoderm_6h.034.Group2.A1.S034,231211.172940.GM25256_Mesoderm_24h.011.Group1.A1.S011,231001.235109.H9_12hours.032.Group1.A1.S032
240124.200202.GM25256_Ectoderm_6h.035.Group2.A1.S035,231211.184440.GM25256_Mesoderm_24h.021.Group1.A1.S021,231002.000800.H9_12hours.042.Group1.A1.S042
240124.200318.GM25256_Ectoderm_6h.036.Group2.A1.S036,231211.190832.GM25256_Mesoderm_24h.031.Group1.A1.S031,231002.002952.H9_12hours.052.Group1.A1.S052
240124.200459.GM25256_Ectoderm_6h.037.Group2.A1.S037,231211.193255.GM25256_Mesoderm_24h.041.Group1.A1.S041,231002.004501.H9_12hours.062.Group1.A1.S062
240124.201122.GM25256_Ectoderm_6h.040.Group2.A1.S040,231211.194513.GM25256_Mesoderm_24h.051.Group1.A1.S051,231003.190537.JAX_12hours.010.Group1.A1.S010
240124.201410.GM25256_Ectoderm_6h.041.Group2.A1.S041,231211.200218.GM25256_Mesoderm_24h.061.Group1.A1.S061,231003.192630.JAX_12hours.020.Group1.A1.S020
240124.201500.GM25256_Ectoderm_6h.042.Group2.A1.S042,240124.135000.GM25256_Endoderm_6h.008.Group1.A1.S008,231003.194745.JAX_12hours.031.Group1.A1.S031
240124.201646.GM25256_Ectoderm_6h.043.Group2.A1.S043,240124.141813.GM25256_Endoderm_6h.018.Group1.A1.S018,231003.201133.JAX_12hours.042.Group1.A1.S042
240124.201945.GM25256_Ectoderm_6h.044.Group2.A1.S044,240124.143910.GM25256_Endoderm_6h.028.Group1.A1.S028,231003.205511.JAX_12hours.053.Group1.A1.S053
240124.202214.GM25256_Ectoderm_6h.045.Group2.A1.S045,240124.151441.GM25256_Endoderm_6h.038.Group1.A1.S038,231003.211956.JAX_12hours.063.Group1.A1.S063
240124.202300.GM25256_Ectoderm_6h.046.Group2.A1.S046,240124.153626.GM25256_Endoderm_6h.048.Group1.A1.S048,231004.163352.H9_12hours.009.Group1.A1.S009
240124.202347.GM25256_Ectoderm_6h.047.Group2.A1.S047,240124.160207.GM25256_Endoderm_6h.058.Group1.A1.S058,231004.164843.H9_12hours.019.Group1.A1.S019
240124.203350.GM25256_Ectoderm_6h.052.Group2.A1.S052,231211.065138.GM25256_Endoderm_12h.010.Group1.A1.S010,231004.170309.H9_12hours.030.Group1.A1.S030
240124.203537.GM25256_Ectoderm_6h.053.Group2.A1.S053,231211.071225.GM25256_Endoderm_12h.022.Group1.A1.S022,231004.174230.H9_12hours.042.Group1.A1.S042
240124.203738.GM25256_Ectoderm_6h.054.Group2.A1.S054,231211.073014.GM25256_Endoderm_12h.034.Group1.A1.S034,231004.181521.H9_12hours.053.Group1.A1.S053
240124.203908.GM25256_Ectoderm_6h.055.Group2.A1.S055,231211.075504.GM25256_Endoderm_12h.045.Group1.A1.S045,231004.183806.H9_12hours.063.Group1.A1.S063
240124.204051.GM25256_Ectoderm_6h.056.Group2.A1.S056,231211.081852.GM25256_Endoderm_12h.057.Group1.A1.S057,231011.133441.GM25256_12hours.009.Group1.A1.S009
240124.204348.GM25256_Ectoderm_6h.058.Group2.A1.S058,231211.145601.GM25256_Endoderm_24h.010.Group1.A1.S010,231011.135804.GM25256_12hours.019.Group1.A1.S019
240124.204553.GM25256_Ectoderm_6h.059.Group2.A1.S059,231211.151952.GM25256_Endoderm_24h.021.Group1.A1.S021,231011.142247.GM25256_12hours.029.Group1.A1.S029
240124.204738.GM25256_Ectoderm_6h.060.Group2.A1.S060,231211.153936.GM25256_Endoderm_24h.033.Group1.A1.S033,231011.144844.GM25256_12hours.039.Group1.A1.S039
240124.205440.GM25256_Ectoderm_6h.063.Group2.A1.S063,231211.160511.GM25256_Endoderm_24h.045.Group1.A1.S045,231011.155027.GM25256_12hours.049.Group1.A1.S049
231211.102804.GM25256_Ectoderm_12h.001.Group1.A1.S001,231211.162142.GM25256_Endoderm_24h.055.Group1.A1.S055,231011.170257.GM25256_12hours.059.Group1.A1.S059
231211.102859.GM25256_Ectoderm_12h.002.Group1.A1.S002,230425.144405.H9_untreated.010.Group1.A1.S010,230425.193925.H9_24hour_treat.010.Group1.A1.S010
231211.103239.GM25256_Ectoderm_12h.004.Group1.A1.S004,230425.150642.H9_untreated.020.Group1.A1.S020,230425.200224.H9_24hour_treat.021.Group1.A1.S021
231211.103514.GM25256_Ectoderm_12h.005.Group1.A1.S005,230425.153208.H9_untreated.030.Group1.A1.S030,230425.202906.H9_24hour_treat.031.Group1.A1.S031
231211.103645.GM25256_Ectoderm_12h.006.Group1.A1.S006,230425.155408.H9_untreated.040.Group1.A1.S040,230425.204954.H9_24hour_treat.042.Group1.A1.S042
231211.103818.GM25256_Ectoderm_12h.007.Group1.A1.S007,230425.162236.H9_untreated.051.Group1.A1.S051,230425.211235.H9_24hour_treat.052.Group1.A1.S052
231211.103906.GM25256_Ectoderm_12h.008.Group1.A1.S008,230425.164213.H9_untreated.062.Group1.A1.S062,230425.213035.H9_24hour_treat.062.Group1.A1.S062
231211.104717.GM25256_Ectoderm_12h.013.Group1.A1.S013,230426.143756.GM25256_untreated.009.Group1.A1.S009,230426.185924.GM25256_24hour_treat.011.Group1.A1.S011
231211.104836.GM25256_Ectoderm_12h.014.Group1.A1.S014,230426.150549.GM25256_untreated.024.Group1.A1.S024,230426.192640.GM25256_24hour_treat.022.Group1.A1.S022
231211.104951.GM25256_Ectoderm_12h.015.Group1.A1.S015,230426.152117.GM25256_untreated.036.Group1.A1.S036,230426.195014.GM25256_24hour_treat.035.Group1.A1.S035
231211.105158.GM25256_Ectoderm_12h.016.Group1.A1.S016,230426.154031.GM25256_untreated.046.Group1.A1.S046,230426.201432.GM25256_24hour_treat.045.Group1.A1.S045
231211.105529.GM25256_Ectoderm_12h.018.Group1.A1.S018,230426.155649.GM25256_untreated.057.Group1.A1.S057,230426.203331.GM25256_24hour_treat.056.Group1.A1.S056
231211.105628.GM25256_Ectoderm_12h.019.Group1.A1.S019,230427.150444.Jax_untreated.016.Group1.A1.S016,230427.195502.Jax_24hour_treated.014.Group1.A1.S014
231211.105837.GM25256_Ectoderm_12h.020.Group1.A1.S020,230427.153310.Jax_untreated.033.Group1.A1.S033,230427.201543.Jax_24hour_treated.026.Group1.A1.S026
231211.110056.GM25256_Ectoderm_12h.021.Group1.A1.S021,230427.161452.Jax_untreated.056.Group1.A1.S056,230427.204442.Jax_24hour_treated.039.Group1.A1.S039
231211.111212.GM25256_Ectoderm_12h.028.Group1.A1.S028,230713.144451.Untreated.008.Group1.A1.S008,230427.211248.Jax_24hour_treated.051.Group1.A1.S051
231211.111334.GM25256_Ectoderm_12h.029.Group1.A1.S029,230713.151917.Untreated.024.Group1.A1.S024,230921.205026.GM25256_24hours.009.Group1.A1.S009
231211.111441.GM25256_Ectoderm_12h.030.Group1.A1.S030,230713.154306.Untreated.035.Group1.A1.S035,230921.210457.GM25256_24hours.019.Group1.A1.S019
231211.111601.GM25256_Ectoderm_12h.031.Group1.A1.S031,230713.161043.Untreated.046.Group1.A1.S046,230921.212621.GM25256_24hours.029.Group1.A1.S029
231211.112204.GM25256_Ectoderm_12h.035.Group1.A1.S035,230713.163132.Untreated.059.Group1.A1.S059,230921.213847.GM25256_24hours.039.Group1.A1.S039
231211.124233.GM25256_Ectoderm_12h.037.Group1.A1.S037,230714.143833.untreated.012.Group1.A1.S012,230921.215507.GM25256_24hours.049.Group1.A1.S049
231211.124335.GM25256_Ectoderm_12h.038.Group1.A1.S038,230714.150310.untreated.024.Group1.A1.S024,230921.221018.GM25256_24hours.059.Group1.A1.S059
231211.124517.GM25256_Ectoderm_12h.039.Group1.A1.S039,230714.152343.untreated.034.Group1.A1.S034,230922.213015.JAX_24hours.009.Group1.A1.S009
231211.124951.GM25256_Ectoderm_12h.042.Group1.A1.S042,230714.154523.untreated.045.Group1.A1.S045,230922.215919.JAX_24hours.022.Group1.A1.S022
231211.125219.GM25256_Ectoderm_12h.044.Group1.A1.S044,230714.160710.untreated.056.Group1.A1.S056,230922.224521.JAX_24hours.034.Group1.A1.S034
231211.125427.GM25256_Ectoderm_12h.045.Group1.A1.S045,230719.185303.Untreated.008.Group1.A1.S008,230922.233235.JAX_24hours.048.Group1.A1.S048
231211.125541.GM25256_Ectoderm_12h.046.Group1.A1.S046,230719.190657.Untreated.018.Group1.A1.S018,230923.000126.JAX_24hours.062.Group1.A1.S062
231211.125712.GM25256_Ectoderm_12h.047.Group1.A1.S047,230719.192711.Untreated.028.Group1.A1.S028,231001.212732.H9_24hours.010.Group1.A1.S010
231211.130056.GM25256_Ectoderm_12h.050.Group1.A1.S050,230719.194404.Untreated.038.Group1.A1.S038,231001.214127.H9_24hours.020.Group1.A1.S020
231211.130338.GM25256_Ectoderm_12h.051.Group1.A1.S051,230719.201718.Untreated.049.Group1.A1.S049,231001.220425.H9_24hours.031.Group1.A1.S031
231211.130619.GM25256_Ectoderm_12h.053.Group1.A1.S053,230719.205600.Untreated.059.Group1.A1.S059,231001.221919.H9_24hours.041.Group1.A1.S041
231211.131148.GM25256_Ectoderm_12h.056.Group1.A1.S056,230921.143904.GM25256_untreated.008.Group1.A1.S008,231001.223540.H9_24hours.053.Group1.A1.S053
231211.131345.GM25256_Ectoderm_12h.057.Group1.A1.S057,230921.145415.GM25256_untreated.018.Group1.A1.S018,231003.215824.JAX_24hours.013.Group1.A1.S013
231211.131755.GM25256_Ectoderm_12h.059.Group1.A1.S059,230921.154442.GM25256_untreated.028.Group1.A1.S028,231003.222306.JAX_24hours.023.Group1.A1.S023
231211.131959.GM25256_Ectoderm_12h.060.Group1.A1.S060,230921.160104.GM25256_untreated.038.Group1.A1.S038,231003.224641.JAX_24hours.033.Group1.A1.S033
231211.132137.GM25256_Ectoderm_12h.061.Group1.A1.S061,230921.162714.GM25256_untreated.048.Group1.A1.S048,231003.230630.JAX_24hours.044.Group1.A1.S044
231211.132356.GM25256_Ectoderm_12h.062.Group1.A1.S062,230921.164810.GM25256_untreated.058.Group1.A1.S058,231003.233911.JAX_24hours.056.Group1.A1.S056
231211.132554.GM25256_Ectoderm_12h.063.Group1.A1.S063,230922.144304.JAX_untreated.009.Group1.A1.S009,231004.190802.H9_24hours.009.Group1.A1.S009
231211.201937.GM25256_Ectoderm_24h.002.Group1.A1.S002,230922.151431.JAX_untreated.019.Group1.A1.S019,231004.193156.H9_24hours.019.Group1.A1.S019
231211.202048.GM25256_Ectoderm_24h.003.Group1.A1.S003,230922.154205.JAX_untreated.029.Group1.A1.S029,231004.195623.H9_24hours.029.Group1.A1.S029
231211.202313.GM25256_Ectoderm_24h.004.Group1.A1.S004,230922.160422.JAX_untreated.039.Group1.A1.S039,231004.203712.H9_24hours.039.Group1.A1.S039
231211.202455.GM25256_Ectoderm_24h.005.Group1.A1.S005,230922.163753.JAX_untreated.051.Group1.A1.S051,231004.211137.H9_24hours.050.Group1.A1.S050
231211.202655.GM25256_Ectoderm_24h.006.Group1.A1.S006,230922.170635.JAX_untreated.061.Group1.A1.S061,231004.213921.H9_24hours.060.Group1.A1.S060
231211.202830.GM25256_Ectoderm_24h.007.Group1.A1.S007,231001.183619.H9_untreated.008.Group1.A1.S008,231011.174900.GM25256_24hours.009.Group1.A1.S009
231211.202933.GM25256_Ectoderm_24h.008.Group1.A1.S008,231001.190514.H9_untreated.018.Group1.A1.S018,231011.180525.GM25256_24hours.019.Group1.A1.S019
231211.203911.GM25256_Ectoderm_24h.012.Group1.A1.S012,231001.193515.H9_untreated.028.Group1.A1.S028,231011.182703.GM25256_24hours.030.Group1.A1.S030
231211.204207.GM25256_Ectoderm_24h.013.Group1.A1.S013,231001.195617.H9_untreated.038.Group1.A1.S038,231011.184301.GM25256_24hours.040.Group1.A1.S040
231211.204407.GM25256_Ectoderm_24h.014.Group1.A1.S014,231001.202341.H9_untreated.049.Group1.A1.S049,231011.190526.GM25256_24hours.050.Group1.A1.S050
231211.204449.GM25256_Ectoderm_24h.015.Group1.A1.S015,231001.204155.H9_untreated.059.Group1.A1.S059,231011.192549.GM25256_24hours.060.Group1.A1.S060
231211.204614.GM25256_Ectoderm_24h.016.Group1.A1.S016,231003.163133.JAX_untreated.008.Group1.A1.S008,240124.191247.GM25256_Ectoderm_6h.009.Group2.A1.S009
231211.204745.GM25256_Ectoderm_24h.017.Group1.A1.S017,231003.165535.JAX_untreated.019.Group1.A1.S019,240124.192845.GM25256_Ectoderm_6h.019.Group2.A1.S019
231211.204950.GM25256_Ectoderm_24h.018.Group1.A1.S018,231003.172539.JAX_untreated.029.Group1.A1.S029,240124.194634.GM25256_Ectoderm_6h.029.Group2.A1.S029
231211.205131.GM25256_Ectoderm_24h.019.Group1.A1.S019,231003.175356.JAX_untreated.040.Group1.A1.S040,240124.200944.GM25256_Ectoderm_6h.039.Group2.A1.S039
231211.205610.GM25256_Ectoderm_24h.022.Group1.A1.S022,231003.181416.JAX_untreated.050.Group1.A1.S050,240124.203138.GM25256_Ectoderm_6h.051.Group2.A1.S051
231211.205841.GM25256_Ectoderm_24h.024.Group1.A1.S024,231003.183042.JAX_untreated.060.Group1.A1.S060,240124.205217.GM25256_Ectoderm_6h.062.Group2.A1.S062
231211.205949.GM25256_Ectoderm_24h.025.Group1.A1.S025,231004.142749.H9_untreated.008.Group1.A1.S008,231211.104459.GM25256_Ectoderm_12h.011.Group1.A1.S011
231211.210055.GM25256_Ectoderm_24h.026.Group1.A1.S026,231004.144657.H9_untreated.018.Group1.A1.S018,231211.111110.GM25256_Ectoderm_12h.027.Group1.A1.S027
231211.210226.GM25256_Ectoderm_24h.027.Group1.A1.S027,231004.150823.H9_untreated.028.Group1.A1.S028,231211.124835.GM25256_Ectoderm_12h.041.Group1.A1.S041
231211.210403.GM25256_Ectoderm_24h.028.Group1.A1.S028,231004.152530.H9_untreated.038.Group1.A1.S038,231211.131027.GM25256_Ectoderm_12h.055.Group1.A1.S055
231211.210634.GM25256_Ectoderm_24h.029.Group1.A1.S029,231004.154657.H9_untreated.048.Group1.A1.S048,231211.203225.GM25256_Ectoderm_24h.010.Group1.A1.S010
231211.210800.GM25256_Ectoderm_24h.030.Group1.A1.S030,231004.160435.H9_untreated.058.Group1.A1.S058,231211.205427.GM25256_Ectoderm_24h.021.Group1.A1.S021
231211.211240.GM25256_Ectoderm_24h.033.Group1.A1.S033,231015.174554.GM25256_untreated.008.Group1.A1.S008,231211.211123.GM25256_Ectoderm_24h.032.Group1.A1.S032
231211.211342.GM25256_Ectoderm_24h.034.Group1.A1.S034,231015.180448.GM25256_untreated.018.Group1.A1.S018,231211.214032.GM25256_Ectoderm_24h.045.Group1.A1.S045
231211.211602.GM25256_Ectoderm_24h.035.Group1.A1.S035,231015.181957.GM25256_untreated.028.Group1.A1.S028,231211.220351.GM25256_Ectoderm_24h.057.Group1.A1.S057
231211.211751.GM25256_Ectoderm_24h.036.Group1.A1.S036,231015.184425.GM25256_untreated.039.Group1.A1.S039,240205.200932.GM25256_Ectoder_48h.009.Group1.A1.S009
231211.211914.GM25256_Ectoderm_24h.037.Group1.A1.S037,231015.190019.GM25256_untreated.049.Group1.A1.S049,240205.202821.GM25256_Ectoder_48h.019.Group1.A1.S019
231211.212643.GM25256_Ectoderm_24h.038.Group1.A1.S038,231015.191943.GM25256_untreated.059.Group1.A1.S059,240205.204553.GM25256_Ectoder_48h.029.Group1.A1.S029
231211.212748.GM25256_Ectoderm_24h.039.Group1.A1.S039,,240205.210110.GM25256_Ectoder_48h.039.Group1.A1.S039
231211.213242.GM25256_Ectoderm_24h.041.Group1.A1.S041,,240205.213351.GM25256_Ectoder_48h.050.Group1.A1.S050
231211.214424.GM25256_Ectoderm_24h.048.Group1.A1.S048,,240205.215141.GM25256_Ectoder_48h.060.Group1.A1.S060
231211.214539.GM25256_Ectoderm_24h.049.Group1.A1.S049,,240206.175514.GM25256_Ectoderm_72h.009.Group1.A1.S009
231211.214750.GM25256_Ectoderm_24h.050.Group1.A1.S050,,240206.181712.GM25256_Ectoderm_72h.019.Group1.A1.S019
231211.215000.GM25256_Ectoderm_24h.051.Group1.A1.S051,,240206.183958.GM25256_Ectoderm_72h.029.Group1.A1.S029
231211.215305.GM25256_Ectoderm_24h.052.Group1.A1.S052,,240206.192707.GM25256_Ectoderm_72h.039.Group1.A1.S039
231211.215440.GM25256_Ectoderm_24h.053.Group1.A1.S053,,240206.195320.GM25256_Ectoderm_72h.049.Group1.A1.S049
231211.215751.GM25256_Ectoderm_24h.054.Group1.A1.S054,,240206.201841.GM25256_Ectoderm_72h.059.Group1.A1.S059
231211.215945.GM25256_Ectoderm_24h.055.Group1.A1.S055,,240124.165945.GM25256_Mesoderm_6h.009.Group1.A1.S009
231211.220454.GM25256_Ectoderm_24h.058.Group1.A1.S058,,240124.172111.GM25256_Mesoderm_6h.020.Group1.A1.S020
231211.220720.GM25256_Ectoderm_24h.059.Group1.A1.S059,,240124.174018.GM25256_Mesoderm_6h.030.Group1.A1.S030
231211.221116.GM25256_Ectoderm_24h.060.Group1.A1.S060,,240124.175939.GM25256_Mesoderm_6h.040.Group1.A1.S040
231211.221421.GM25256_Ectoderm_24h.061.Group1.A1.S061,,240124.182453.GM25256_Mesoderm_6h.050.Group1.A1.S050
240124.163428.GM25256_Mesoderm_6h.001.Group1.A1.S001,,240124.184150.GM25256_Mesoderm_6h.060.Group1.A1.S060
240124.163635.GM25256_Mesoderm_6h.002.Group1.A1.S002,,231211.085002.GM25256_Mesoderm_12h.010.Group1.A1.S010
240124.164745.GM25256_Mesoderm_6h.003.Group1.A1.S003,,231211.090622.GM25256_Mesoderm_12h.021.Group1.A1.S021
240124.165009.GM25256_Mesoderm_6h.004.Group1.A1.S004,,231211.092543.GM25256_Mesoderm_12h.033.Group1.A1.S033
240124.165154.GM25256_Mesoderm_6h.005.Group1.A1.S005,,231211.094200.GM25256_Mesoderm_12h.043.Group1.A1.S043
240124.165338.GM25256_Mesoderm_6h.006.Group1.A1.S006,,231211.095823.GM25256_Mesoderm_12h.054.Group1.A1.S054
240124.165531.GM25256_Mesoderm_6h.007.Group1.A1.S007,,231211.173051.GM25256_Mesoderm_24h.012.Group1.A1.S012
240124.170213.GM25256_Mesoderm_6h.010.Group1.A1.S010,,231211.184750.GM25256_Mesoderm_24h.022.Group1.A1.S022
240124.170412.GM25256_Mesoderm_6h.011.Group1.A1.S011,,231211.190939.GM25256_Mesoderm_24h.032.Group1.A1.S032
240124.170546.GM25256_Mesoderm_6h.012.Group1.A1.S012,,231211.193421.GM25256_Mesoderm_24h.042.Group1.A1.S042
240124.170734.GM25256_Mesoderm_6h.013.Group1.A1.S013,,231211.194646.GM25256_Mesoderm_24h.052.Group1.A1.S052
240124.170934.GM25256_Mesoderm_6h.014.Group1.A1.S014,,231211.200451.GM25256_Mesoderm_24h.062.Group1.A1.S062
240124.171111.GM25256_Mesoderm_6h.015.Group1.A1.S015,,240218.144457.GM25256_Mesoderm_48h.010.Group1.A1.S010
240124.171237.GM25256_Mesoderm_6h.016.Group1.A1.S016,,240218.152022.GM25256_Mesoderm_48h.020.Group1.A1.S020
240124.171449.GM25256_Mesoderm_6h.017.Group1.A1.S017,,240218.160712.GM25256_Mesoderm_48h.030.Group1.A1.S030
240124.172316.GM25256_Mesoderm_6h.021.Group1.A1.S021,,240218.173100.GM25256_Mesoderm_48h.040.Group1.A1.S040
240124.172448.GM25256_Mesoderm_6h.022.Group1.A1.S022,,240218.181216.GM25256_Mesoderm_48h.050.Group1.A1.S050
240124.172711.GM25256_Mesoderm_6h.023.Group1.A1.S023,,240218.184321.GM25256_Mesoderm_48h.060.Group1.A1.S060
240124.172939.GM25256_Mesoderm_6h.024.Group1.A1.S024,,240124.135619.GM25256_Endoderm_6h.009.Group1.A1.S009
240124.173049.GM25256_Mesoderm_6h.025.Group1.A1.S025,,240124.142016.GM25256_Endoderm_6h.019.Group1.A1.S019
240124.173204.GM25256_Mesoderm_6h.026.Group1.A1.S026,,240124.144034.GM25256_Endoderm_6h.029.Group1.A1.S029
240124.173337.GM25256_Mesoderm_6h.027.Group1.A1.S027,,240124.151604.GM25256_Endoderm_6h.039.Group1.A1.S039
240124.173547.GM25256_Mesoderm_6h.028.Group1.A1.S028,,240124.153926.GM25256_Endoderm_6h.049.Group1.A1.S049
240124.174132.GM25256_Mesoderm_6h.031.Group1.A1.S031,,240124.160543.GM25256_Endoderm_6h.059.Group1.A1.S059
240124.174352.GM25256_Mesoderm_6h.032.Group1.A1.S032,,231211.065333.GM25256_Endoderm_12h.011.Group1.A1.S011
240124.174545.GM25256_Mesoderm_6h.033.Group1.A1.S033,,231211.071441.GM25256_Endoderm_12h.024.Group1.A1.S024
240124.174812.GM25256_Mesoderm_6h.034.Group1.A1.S034,,231211.073211.GM25256_Endoderm_12h.035.Group1.A1.S035
240124.174903.GM25256_Mesoderm_6h.035.Group1.A1.S035,,231211.075829.GM25256_Endoderm_12h.047.Group1.A1.S047
240124.175117.GM25256_Mesoderm_6h.036.Group1.A1.S036,,231211.082024.GM25256_Endoderm_12h.058.Group1.A1.S058
240124.175337.GM25256_Mesoderm_6h.037.Group1.A1.S037,,231211.145857.GM25256_Endoderm_24h.012.Group1.A1.S012
240124.175510.GM25256_Mesoderm_6h.038.Group1.A1.S038,,231211.152148.GM25256_Endoderm_24h.022.Group1.A1.S022
240124.180129.GM25256_Mesoderm_6h.041.Group1.A1.S041,,231211.154056.GM25256_Endoderm_24h.034.Group1.A1.S034
240124.180409.GM25256_Mesoderm_6h.042.Group1.A1.S042,,231211.160713.GM25256_Endoderm_24h.046.Group1.A1.S046
240124.181317.GM25256_Mesoderm_6h.043.Group1.A1.S043,,231211.162426.GM25256_Endoderm_24h.056.Group1.A1.S056
240124.181455.GM25256_Mesoderm_6h.044.Group1.A1.S044,,240205.104356.GM25256_Endoderm_48h.009.Group1.A1.S009
240124.181642.GM25256_Mesoderm_6h.045.Group1.A1.S045,,240205.111040.GM25256_Endoderm_48h.019.Group1.A1.S019
240124.181845.GM25256_Mesoderm_6h.046.Group1.A1.S046,,240205.133651.GM25256_Endoderm_48h.029.Group1.A1.S029
240124.182036.GM25256_Mesoderm_6h.047.Group1.A1.S047,,240205.150531.GM25256_Endoderm_48h.040.Group1.A1.S040
240124.182206.GM25256_Mesoderm_6h.048.Group1.A1.S048,,240205.154324.GM25256_Endoderm_48h.050.Group1.A1.S050
240124.182746.GM25256_Mesoderm_6h.051.Group1.A1.S051,,240205.162502.GM25256_Endoderm_48h.060.Group1.A1.S060
240124.182924.GM25256_Mesoderm_6h.052.Group1.A1.S052,,230425.144525.H9_untreated.011.Group1.A1.S011
240124.183108.GM25256_Mesoderm_6h.053.Group1.A1.S053,,230425.150841.H9_untreated.021.Group1.A1.S021
